# residual, uncalibrated_uncertainty_estimate, calibrated_uncertainty_estimate
-1.441923051351418350e-01,3.184529954219835202e-01,2.305757061803773988e-01
-3.871293319740921283e-03,3.370329980935986569e-01,2.378955739339223829e-01
-1.609016757413687382e-01,2.695522128291487074e-01,2.113105172592129599e-01
-2.612958978621778700e-02,2.872872197967195618e-01,2.182974864166039586e-01
-5.662592739346822973e-02,4.640107639082652335e-01,2.879203489477554223e-01
2.533477477060515001e-02,3.051759088547797427e-01,2.253450009139689458e-01
-5.553577263590638718e-02,1.761191470921160684e-01,1.745011745970516670e-01
3.282569391363544531e-01,4.241853465894309116e-01,2.722305348419178372e-01
2.471868737074997269e-01,3.365705556921512742e-01,2.377133878878784634e-01
-2.521362813884728826e-01,2.493139093395079497e-01,2.033373372915590338e-01
-2.371063048498106562e-01,3.347730689821978856e-01,2.370052413263220581e-01
1.490708251057437372e-01,2.049511579692397389e-01,1.858599731085144036e-01
-2.034767085295602906e-01,3.574740530521055004e-01,2.459486308512822406e-01
1.636024890923314379e-01,2.475630372972630056e-01,2.026475552700423566e-01
-4.748001453395440108e-01,6.289525603570281787e-01,3.529016171626176979e-01
5.076373532277714817e-01,1.932780174284397801e-01,1.812611661795069939e-01
-7.715572801202405517e-02,3.333743134165426669e-01,2.364541808156702951e-01
3.345052731709856064e-01,3.726942694194630423e-01,2.519448609357698432e-01
4.464405440165764016e-01,3.979037378997353214e-01,2.618765051165675706e-01
-1.027070029224686799e-02,2.092838685222341844e-01,1.875669087221867870e-01
4.891221688418441182e-01,1.694590204270653988e-01,1.718773188704587340e-01
-2.480093258860302241e-01,2.839937487752540179e-01,2.169999746372278659e-01
5.313571585880868392e-02,1.185611703307024589e-01,1.518253555726113146e-01
2.456015291451769597e-02,1.781788235488772076e-01,1.753126146998894574e-01
-1.136885053482501740e-01,3.065274297492111000e-01,2.258774526249960890e-01
-1.173697893884408927e-01,3.025707252104468670e-01,2.243186501600291649e-01
-3.312183309731554087e-02,2.959819131385498236e-01,2.217228898756172240e-01
-1.665319921956273930e-01,1.411000225698048616e-01,1.607048708570178452e-01
1.240679916962235396e-01,3.091896484117019894e-01,2.269262731706584990e-01
-2.872198154771323786e-01,2.884197906593155558e-01,2.187436795136795675e-01
4.902733148502063515e-02,1.951292305318929610e-01,1.819904790510066261e-01
1.833600817115529913e-01,1.606152967423661038e-01,1.683932026964719275e-01
6.168086305082127324e-02,2.738676084442647762e-01,2.130106313961788733e-01
1.442631584876822304e-01,2.940135584662705304e-01,2.209474273448626680e-01
-1.118919056174025040e-01,1.967049274017197702e-01,1.826112482139964355e-01
-2.534307242277729702e-02,2.144332891999516377e-01,1.895955994083214080e-01
-2.185068955195649740e-02,3.003804264551503400e-01,2.234557494644325293e-01
-4.137947308285954695e-01,4.072696217576884381e-01,2.655663340389290417e-01
6.086764276678322538e-01,4.039076110403505004e-01,2.642418200293314978e-01
2.809133490651076204e-01,2.566220105665388274e-01,2.062164722118736415e-01
-8.344712589434409578e-02,2.768084935764281718e-01,2.141692367325865876e-01
3.981816014787272623e-02,4.137404249688840796e-01,2.681156029815824349e-01
-2.794655595778863799e-01,7.515309960765595987e-01,4.011932108056118773e-01
-1.892832004816955016e-01,2.898449139049998347e-01,2.193051279631380024e-01
-5.585835682287675769e-02,3.354529283874876922e-01,2.372730820271916896e-01
3.819747568213672784e-01,2.986212939620280782e-01,2.227627131157192686e-01
-3.138592755754288643e-01,2.679063693006139557e-01,2.106621127791475645e-01
-1.659990701812997516e-01,3.801121634010121153e-01,2.548672503408966339e-01
-1.809462493005511152e-01,2.468364948931008052e-01,2.023613231090569953e-01
2.733343305904228915e-01,2.979803515075358233e-01,2.225102043250890282e-01
1.158095044820140890e-01,2.101137927903664326e-01,1.878938697025243632e-01
-2.945384743014111684e-01,1.474323422545618101e-01,1.631995821595303431e-01
-1.703860034252223099e-01,1.902638878701202463e-01,1.800737051145709922e-01
1.511884099301702145e-01,2.739236626728646651e-01,2.130327147913015917e-01
2.809421758929425139e-01,3.292187698014013564e-01,2.348170427460729015e-01
-1.822242851544263742e-01,1.782246418215498174e-01,1.753306654882874349e-01
-7.142735695451238320e-02,2.626202298035463234e-01,2.085795596854153056e-01
-2.380371188282416617e-01,3.506169329460211981e-01,2.432471666354889817e-01
-1.442890739179930604e-01,3.762248521696853198e-01,2.533357863990935988e-01
2.257169188077892408e-01,3.904634061292805991e-01,2.589452760115562024e-01
6.289684161907957427e-02,3.470534013884671865e-01,2.418432605006029246e-01
-2.311940460750186097e-02,2.298963674270131929e-01,1.956875085261672031e-01
6.282938224992996867e-02,2.908635724505204689e-01,2.197064436126034970e-01
-1.540459831295970805e-01,2.628129145628189112e-01,2.086554707055011115e-01
6.396197439879828250e-01,2.929195256699520522e-01,2.205164168908476940e-01
3.463614754524911299e-01,2.743822986493313354e-01,2.132134012397423617e-01
-1.881775418958623602e-01,5.572048101017519350e-01,3.246355263140235370e-01
1.313316822613407597e-01,2.375418733362914814e-01,1.986995690276632809e-01
3.395180314993540560e-01,3.896253525690296926e-01,2.586151123759612425e-01
-2.353471521308988235e-01,3.434229526792575427e-01,2.404129913608659130e-01
4.383676371952988093e-02,3.201880851647940229e-01,2.312592705308448016e-01
1.237673811268179686e-01,1.825118430337780429e-01,1.770196720218704667e-01
-3.940039055492382536e-01,2.901898988680754465e-01,2.194410399084324448e-01
-2.495360732021506198e-03,9.633563532547249897e-02,1.430692762616751490e-01
-8.340356390578028689e-01,4.038158630459051657e-01,2.642056745455087508e-01
7.171648092689193732e-02,2.106382563469049729e-01,1.881004899029229960e-01
