# residual, uncalibrated_uncertainty_estimate, calibrated_uncertainty_estimate
-1.221169116559549073e+00,8.918415018362210178e-01,7.587981755908471682e-01
-3.480535480379430280e-01,7.293864081993206572e-01,7.560549307742470138e-01
-2.102300897491647669e-01,5.612986266299967442e-01,7.532165714147402991e-01
2.559276864731508394e-01,5.986583520748317566e-01,7.538474342019989560e-01
2.459671038213746830e-01,7.246500621975046075e-01,7.559749520162516445e-01
2.607623425376307535e-01,6.583853421962166941e-01,7.548559944902212271e-01
8.747844314944986932e-01,4.813921923238057565e-01,7.518672575408804626e-01
-4.287192854992057933e-01,6.734456944146451907e-01,7.551103062032888946e-01
1.276507576226311391e+00,4.851306189001503566e-01,7.519303852588129500e-01
-8.227354515707572258e-01,8.255581071040216656e-01,7.576789027200797610e-01
-1.392480256617451562e-01,7.218305689724100471e-01,7.559273415658679385e-01
2.837069193731106553e-01,8.306178673977812066e-01,7.577643427077609406e-01
-8.880047531879110556e-01,7.369314287166442989e-01,7.561823372960243539e-01
1.489339186082655475e+00,7.443663347677239583e-01,7.563078844058744865e-01
-4.831117849913852402e-01,7.614327942152068207e-01,7.565960715926773883e-01
-3.736168792520334070e-01,8.542371606905255765e-01,7.581631821805441263e-01
-6.303043469225800832e-01,5.941999325106871455e-01,7.537721485579125247e-01
1.075568531609374379e+00,6.385507770877422162e-01,7.545210645923323689e-01
-6.558449180094759468e-02,1.113292413367226841e+00,7.625376339949436755e-01
2.677040545223571821e-01,6.192217675197997373e-01,7.541946715927642098e-01
-3.337349067846476780e-01,8.287310473165232505e-01,7.577324815374406608e-01
9.603651720586751095e-01,1.312286217378869191e+00,7.658978777962895945e-01
3.709649535026426914e-01,7.703193373225613039e-01,7.567461312969993026e-01
-6.600779575166678681e-01,5.700069880207121464e-01,7.533636223117687880e-01
-3.396512628601031647e-01,5.575342318975464728e-01,7.531530051940311665e-01
-2.736590271809516417e-01,8.696912446803559682e-01,7.584241425164210959e-01
-2.248728876596616522e-01,6.960018466103697898e-01,7.554911932915797657e-01
1.546475949329954691e+00,5.458898149159427948e-01,7.529563755543443593e-01
4.071100743678575107e-01,5.820110534811988590e-01,7.535663250378907829e-01
-1.522937287194719713e-01,6.289564031969332447e-01,7.543590523349431587e-01
4.627534400468449327e-01,6.422724726448727495e-01,7.545839097873797696e-01
-6.921679197452504928e-01,5.879507850447219797e-01,7.536666243726721781e-01
1.312522480888453469e+00,6.125280003967277231e-01,7.540816394830727187e-01
-1.154905054543070353e+00,4.834407285690616174e-01,7.519018494783237250e-01
1.046293694051391165e-01,8.044955002377454090e-01,7.573232358966119904e-01
4.940624584420865162e-01,8.513695136390939666e-01,7.581147585963180502e-01
4.714730633329596299e-01,5.135119225568587353e-01,7.524096368624507702e-01
4.786184296896906637e-02,7.191917684841689917e-01,7.558827823242993960e-01
-6.224625747784110485e-01,7.366262412237427615e-01,7.561771838472204355e-01
9.927012444683172565e-02,7.848598214793147676e-01,7.569916644280381135e-01
1.084226224761118962e+00,5.171664440481970049e-01,7.524713477446018928e-01
7.455117177678803608e-02,1.014239699874107448e+00,7.608650127383427275e-01
3.010143495233275623e-01,7.571053533325374785e-01,7.565229976772662734e-01
6.245877157224314358e-01,5.310679113757702519e-01,7.527060903269103820e-01
-2.470163299713028227e-02,5.348000942347208575e-01,7.527691126123506882e-01
-1.296551462074663763e-01,9.333342633488536100e-01,7.594988295401801093e-01
6.180624814072060991e-01,5.886208859882509081e-01,7.536779398131350227e-01
-1.515894518978761762e-01,6.383298851722434275e-01,7.545173345732318904e-01
