# residual, uncalibrated_uncertainty_estimate, calibrated_uncertainty_estimate
-1.247796940628914220e+00,9.348640781130456157e-01,9.576163826512550381e-01
1.131258676635905402e+00,6.795082575979743966e-01,9.630702962417579949e-01
-1.495181180982330549e+00,6.762982426476770170e-01,9.631388560424620771e-01
-2.795406783768419889e-01,9.497565885369798622e-01,9.572983070153288088e-01
5.686121145277305278e-01,9.367317406186783657e-01,9.575764929401006098e-01
-4.160767326050137105e-01,1.005525562263245742e+00,9.561071880382067123e-01
1.028185350342871285e+00,7.749617275412601369e-01,9.610315920683646373e-01
-1.598232478060287176e-01,9.518139045739494319e-01,9.572543666662450823e-01
8.546663780371435148e-01,8.570597032922555591e-01,9.592781357939081932e-01
-1.320471838794657016e+00,1.028180519979915664e+00,9.556233213241682733e-01
-4.460979984380785135e-01,7.759632730258092526e-01,9.610102009658683109e-01
-6.721202178560459206e-01,8.328957497788423980e-01,9.597942317818565217e-01
5.503396547713378800e-02,7.378869072455114253e-01,9.618234395612809129e-01
5.289004948327988842e-01,1.089042236294429644e+00,9.543234310726771419e-01
-9.689132107379276881e-01,1.107688291217587606e+00,9.539251868809076607e-01
-6.738749321930609382e-01,6.498943043241085515e-01,9.637027938363029733e-01
-9.163961319869114996e-01,6.668442611990967883e-01,9.633407750658967705e-01
4.673536663710803341e-01,9.782012844368978000e-01,9.566907825295608570e-01
5.413740522626223628e-01,8.660653542161211860e-01,9.590857922559150595e-01
-5.426424668299799636e-01,8.623621465019378762e-01,9.591648857139772888e-01
-2.220594561633279229e-01,1.171507653494186618e+00,9.525621269492581256e-01
-2.625195796625929279e-01,1.039956937576050677e+00,9.553717994914352474e-01
-5.820462097829721682e-01,6.940584766727211363e-01,9.627595312966061858e-01
1.055024066873973543e-01,7.939292414217395955e-01,9.606264821260021014e-01
9.991755818172799730e-02,5.045902436794538204e-01,9.668062116064820577e-01
1.770177138053422361e+00,1.169972115574749560e+00,9.525949231123166383e-01
-5.075542278845919242e-01,6.703502111156258714e-01,9.632658946583978476e-01
6.592542149220479430e-01,9.238852926165540547e-01,9.578508685827124003e-01
-3.385133532302844750e-01,8.285811524654757010e-01,9.598863833563828774e-01
3.569394033345923978e-01,7.948936067547821560e-01,9.606058851206725757e-01
-1.307156621694339771e+00,1.064414939686549655e+00,9.548494231859414594e-01
-2.896683695310630746e+00,8.896554703436669875e-01,9.585819523407330678e-01
9.690226573529163723e-01,1.030094591583033292e+00,9.555824404031523223e-01
2.403746956485512398e-01,1.069072680102252315e+00,9.547499427288169693e-01
1.845632845712817716e+00,9.597018462421793572e-01,9.570858952674781150e-01
1.554102968261850473e-02,1.214995185058725280e+00,9.516333161669588980e-01
4.991563685120575800e-01,7.386487901266333145e-01,9.618071671951710089e-01
1.011498150922312877e+00,1.001169365853711080e+00,9.562002280901348295e-01
-5.897779569263682520e-01,9.301938895773212979e-01,9.577161289764957175e-01
-2.185373395313910672e-01,1.102378868349845664e+00,9.540385860330307111e-01
5.481610197653634664e-01,8.029477450148470030e-01,9.604338640794926052e-01
-4.966588810215989414e-01,7.566639951930419494e-01,9.614223967538738647e-01
7.190095119008048652e-01,1.045620395670492808e+00,9.552508388216991442e-01
6.274863547829194754e-01,8.770644452227045473e-01,9.588508726374667113e-01
-9.171164089383415652e-01,8.196698179324213296e-01,9.600767124760454241e-01
-8.857062387407289850e-02,8.206014774780143739e-01,9.600568140039950071e-01
