# number_of_models, mu, sigma
5.000000000000000000e+01,7.728851679623162108e-01,2.673185738531983283e-02
1.000000000000000000e+02,7.888976578897224368e-01,3.901729872332639071e-02
2.000000000000000000e+02,7.763698233227823708e-01,2.160622095208419163e-02
5.000000000000000000e+02,7.706561816083807859e-01,1.117480059675520464e-02
1.000000000000000000e+03,7.911318165112454226e-01,1.955928293910031909e-02
