# residual, uncalibrated_uncertainty_estimate, calibrated_uncertainty_estimate
3.483772696296762450e-01,5.410340614985249541e-01,4.980285652159457399e-01
4.592494063512074509e-02,5.280441221948217745e-01,4.957840057840045556e-01
-2.075960663290019048e-01,3.907162907400426599e-01,4.720548356814173174e-01
2.760477782057775276e-01,3.941306635409176362e-01,4.726448124700065034e-01
-1.275427856760406931e+00,6.176912594365473463e-01,5.112743266190741265e-01
3.063559647807924044e-02,3.495771908909220405e-01,4.649463225137236977e-01
3.958793574281316840e-01,4.093740308427375463e-01,4.752787465517531729e-01
2.344615490863583701e-02,6.067644100372948657e-01,5.093862529100998682e-01
-3.868251917986435529e-01,4.089072280237204260e-01,4.751980866929358949e-01
-2.012195012215584333e-01,5.435946641635901466e-01,4.984710172343079226e-01
-1.344054317312163016e-01,5.291735599776666854e-01,4.959791637573410794e-01
-2.888536611299723500e-01,3.294933849043456542e-01,4.614759986652053336e-01
-7.182617494437532057e-02,4.553463969507345332e-01,4.832224101473899802e-01
-1.000627320143537974e-01,5.479905069358596004e-01,4.992305843212007099e-01
1.676249147607756229e-01,6.603280166732153900e-01,5.186416232141912719e-01
7.630081227268927790e-01,6.258663409929144938e-01,5.126869164692053893e-01
3.462170202855279211e-01,6.218535223408867552e-01,5.119935329403454416e-01
6.869028111474871912e-01,4.151155256655689185e-01,4.762708317383524403e-01
-4.903367456709310512e-01,4.388673712043776320e-01,4.803749639966875540e-01
9.300226864881034894e-01,3.039718363424863123e-01,4.570660756314667283e-01
-1.731517738416172847e-01,5.009966153933744781e-01,4.911104091580083542e-01
-2.744305476386084408e-02,5.923150716098810609e-01,5.068895207780785839e-01
-5.716742259437197493e-01,3.465323589738057986e-01,4.644201994858593308e-01
1.083159628924530882e+00,5.551932921144161481e-01,5.004751689979102247e-01
-5.685840613435538815e-01,3.123466847956429815e-01,4.585131836315212150e-01
-2.575894243871650890e-01,7.676044773994332715e-01,5.371781526096487402e-01
1.562930867438264149e-01,5.047667038857066579e-01,4.917618508227361573e-01
4.892474025242451313e-02,4.132973659628597640e-01,4.759566680294944341e-01
-2.524602517702978499e-01,3.552751026487566688e-01,4.659308768891833874e-01
-1.612195262907324955e-01,4.768959612640837897e-01,4.869460055163046253e-01
-2.892247012019919516e-01,5.068240278472257998e-01,4.921173402360754512e-01
4.790123948836764733e-01,4.157176756378658800e-01,4.763748785216485593e-01
-4.507987788712726762e-01,4.883044166781121409e-01,4.889172969599942520e-01
2.033805208161373612e-01,4.759021318011557589e-01,4.867742795949894785e-01
-8.273184510538516001e-01,4.743605011420132245e-01,4.865078979317924990e-01
-9.010519758159532544e-02,5.249104420331897058e-01,4.952425304776901238e-01
-2.365680700983255891e-01,4.403173200198930437e-01,4.806255037577755740e-01
-4.046480604745252875e-03,5.701397616147959591e-01,5.030578014727005165e-01
8.489929794470753022e-01,5.772557307577432795e-01,5.042873850206892605e-01
-4.273962388329649587e-01,4.513750162283460265e-01,4.825361867671371097e-01
4.866178812747874449e-01,4.313463718147571013e-01,4.790753944049509494e-01
9.487861015681767762e-01,5.065934803808571640e-01,4.920775034456140173e-01
-1.089881241742159945e+00,7.170829093080519634e-01,5.284484226605917767e-01
-7.326688879604901228e-01,4.355067103821965158e-01,4.797942682159280769e-01
8.923628146166727448e-02,5.302753550295397078e-01,4.961695452839924303e-01
-7.489606973028829773e-02,4.783567993109625327e-01,4.871984268510005656e-01
-6.222864596925739011e-01,5.941179071498746689e-01,5.072010365920421870e-01
1.131132852872119704e-01,4.765130605229511707e-01,4.868798432772122875e-01
6.545004181308771152e-01,4.558041674641217789e-01,4.833015092947735569e-01
3.124769352667001732e-01,5.776974702231411074e-01,5.043637141289581960e-01
1.395561054156081171e-01,4.972120557539588814e-01,4.904564669927841680e-01
2.935246865943026973e-01,4.760777502714911846e-01,4.868046250865886715e-01
-2.307466987712376502e-02,4.951393314976570981e-01,4.900983165295276223e-01
-2.462720547015157246e-01,3.813343001823212841e-01,4.704337014401885342e-01
2.737436487678043817e-01,3.628885179186245313e-01,4.672464152187886244e-01
3.576250212838188447e-01,4.714263354996633404e-01,4.860008971665513156e-01
2.226812621832287564e-01,4.633639636349822788e-01,4.846077826654290321e-01
4.242770659565865410e-01,3.671295930905083549e-01,4.679792396805557142e-01
1.952015645304208957e-01,4.634025216146431814e-01,4.846144451813115817e-01
8.272310271302670825e-01,4.587992088411384506e-01,4.838190289085811946e-01
-2.861865249348325424e-01,4.464899533971802836e-01,4.816920862985388796e-01
-3.077620050387036219e-02,5.464745140803211054e-01,4.989686326689952156e-01
3.178762774338076413e-01,5.070863155741681672e-01,4.921626614941372879e-01
3.107110975932194166e-02,5.927975902882091086e-01,5.069728962138837502e-01
9.238701125654742718e-02,5.001032326533214611e-01,4.909560396410586058e-01
-1.454432380185461948e+00,4.742123796114086076e-01,4.864823036952977131e-01
-5.652247085023300865e-01,6.141505787753254175e-01,5.106625248247907978e-01
-3.601560271925696721e-01,4.741999291521246662e-01,4.864801523537737316e-01
2.582742579024919771e-01,4.601079490149301843e-01,4.840451689260489854e-01
3.990724435507558288e-01,6.431070158789441438e-01,5.156659696059231468e-01
-1.353121871806575838e+00,5.281453341970520077e-01,4.958014944226286635e-01
-7.532669371319780094e-01,3.955251345121261197e-01,4.728857660955636533e-01
1.824294265219539649e-02,5.172492484250243994e-01,4.939187364266869329e-01
1.102927902287849315e+00,4.215875975201424652e-01,4.773891548948927532e-01
-1.415972738964046629e+00,5.934699621797736580e-01,5.070890767929995269e-01
-7.564343807884912341e-01,5.031898590967056606e-01,4.914893844346252538e-01
2.436374527282424429e-01,3.864273575426062646e-01,4.713137417289207654e-01
-2.055573517497516836e-02,4.738379237114130338e-01,4.864176006583911804e-01
2.331245866146939849e-01,4.610829323230436483e-01,4.842136383799121591e-01
-5.123828299050692259e-01,3.814340687225485915e-01,4.704509406599217680e-01
-6.365216980850871842e-01,4.410232778007764920e-01,4.807474877146353243e-01
4.599713067684889078e-01,5.874128965542124714e-01,5.060424634515604536e-01
-2.963779681614724937e-01,5.299599333180461391e-01,4.961150428909466004e-01
3.971517578408901850e-01,5.059251288639651234e-01,4.919620175556480568e-01
5.984545918383827878e-01,4.693035594629085816e-01,4.856340981489578601e-01
-8.264527340108137610e-01,3.823079750710028923e-01,4.706019448094559410e-01
9.147625739301556980e-01,5.387666087175638774e-01,4.976367671938767279e-01
-5.922289509971493532e-02,5.200471160369427581e-01,4.944021859633497828e-01
8.600860482662761042e-01,4.154493607223513907e-01,4.763285158127653074e-01
-3.922488548731297153e-01,6.407130740125097645e-01,5.152523152638822657e-01
2.967372385002443047e-01,5.159816631346149096e-01,4.936997076496573156e-01
8.327177344037891560e-01,3.723727091989817439e-01,4.688852089417578917e-01
-4.096551097005154407e-01,5.190387311447495211e-01,4.942279449782395750e-01
-6.685268083094023650e-01,4.145877722013737166e-01,4.761796400870210721e-01
-1.214451101204047784e-01,6.707469129805034846e-01,5.204419266205569938e-01
-1.506809522765755263e-02,6.498791218936806890e-01,5.168361363075604231e-01
1.961569544317478542e-01,3.821589402464984908e-01,4.705761927629522612e-01
